lat,lon,weight
-2.50000000,-67.50000000,415410.047711
-2.50000000,-62.50000000,1528392.644808
-2.50000000,-57.50000000,2212516.398401
-2.50000000,-52.50000000,1583192.057695
-2.50000000,-47.50000000,6635268.649329
-2.50000000,-42.50000000,6232536.863129
-2.50000000,-37.50000000,5426192.005222
-2.50000000,-32.50000000,3420.132526
-2.50000000,7.50000000,223344.581166
-2.50000000,12.50000000,4500927.915432
-2.50000000,17.50000000,21980263.482714
-2.50000000,22.50000000,5978960.422534
-2.50000000,27.50000000,36213520.240063
-2.50000000,32.50000000,47829487.647560
-2.50000000,37.50000000,38319662.347606
-2.50000000,42.50000000,1780566.985638
-2.50000000,57.50000000,131333.682004
-2.50000000,72.50000000,25012.545396
-2.50000000,97.50000000,244440.512841
-2.50000000,102.50000000,21966052.394581
-2.50000000,107.50000000,5826236.859804
-2.50000000,112.50000000,5782652.413310
-2.50000000,117.50000000,10391717.524952
-2.50000000,122.50000000,6069438.571552
-2.50000000,127.50000000,1622266.709516
-2.50000000,132.50000000,1334733.232179
-2.50000000,137.50000000,3234809.647497
-2.50000000,142.50000000,1685491.547200
-2.50000000,147.50000000,248007.654456
-2.50000000,152.50000000,747069.156983
-2.50000000,157.50000000,2093.914391
-2.50000000,167.50000000,12198.768889
-2.50000000,172.50000000,6861.691645
-2.50000000,177.50000000,8648.672960
2.50000000,-157.50000000,9278.793018
2.50000000,-92.50000000,2.361896
2.50000000,-82.50000000,55048.271062
2.50000000,-77.50000000,13754618.201398
2.50000000,-72.50000000,13194425.914011
2.50000000,-67.50000000,119096.200010
2.50000000,-62.50000000,852660.627900
2.50000000,-57.50000000,107450.969823
2.50000000,-52.50000000,769292.946420
2.50000000,-47.50000000,1327.471846
2.50000000,-7.50000000,1202468.069404
2.50000000,-2.50000000,832232.525710
2.50000000,7.50000000,22251911.398595
2.50000000,12.50000000,8908007.132704
2.50000000,17.50000000,7741274.607751
2.50000000,22.50000000,8610939.922036
2.50000000,27.50000000,10844956.986592
2.50000000,32.50000000,57808236.014468
2.50000000,37.50000000,10861755.265186
2.50000000,42.50000000,7355591.250390
2.50000000,47.50000000,5732208.805250
2.50000000,72.50000000,371458.545825
2.50000000,97.50000000,18227186.281635
2.50000000,102.50000000,35419684.543486
2.50000000,107.50000000,2151987.114181
2.50000000,112.50000000,4107978.414000
2.50000000,117.50000000,2842070.342398
2.50000000,122.50000000,3981674.243068
2.50000000,127.50000000,1582468.695057
2.50000000,132.50000000,1799.151188
2.50000000,167.50000000,352.284846
2.50000000,172.50000000,102066.200373
7.50000000,-87.50000000,63371.561919
7.50000000,-82.50000000,4982665.106350
7.50000000,-77.50000000,14089177.003697
7.50000000,-72.50000000,12657008.066295
7.50000000,-67.50000000,3928378.371255
7.50000000,-62.50000000,3876403.631642
7.50000000,-57.50000000,1345927.068073
7.50000000,-52.50000000,146745.124809
7.50000000,-12.50000000,16237825.248035
7.50000000,-7.50000000,21037715.819379
7.50000000,-2.50000000,41057279.275752
7.50000000,2.50000000,68972464.373026
7.50000000,7.50000000,87950467.418370
7.50000000,12.50000000,18277708.097070
7.50000000,17.50000000,9647224.071536
7.50000000,22.50000000,785622.573206
7.50000000,27.50000000,4669513.576994
7.50000000,32.50000000,9223524.001872
7.50000000,37.50000000,69313149.285783
7.50000000,42.50000000,21538619.017403
7.50000000,47.50000000,6155342.978435
7.50000000,52.50000000,63706.918757
7.50000000,72.50000000,132282.908054
7.50000000,77.50000000,35192789.990447
7.50000000,82.50000000,17638049.570772
7.50000000,92.50000000,47693.798135
7.50000000,97.50000000,7834808.244403
7.50000000,102.50000000,12029754.437036
7.50000000,107.50000000,6185399.437096
7.50000000,112.50000000,2268.087520
7.50000000,117.50000000,4172135.193131
7.50000000,122.50000000,19661943.924350
7.50000000,127.50000000,11435931.911164
7.50000000,132.50000000,17329.385001
7.50000000,137.50000000,8286.109388
7.50000000,147.50000000,555.603394
7.50000000,152.50000000,22730.131488
7.50000000,157.50000000,37467.349694
7.50000000,162.50000000,7329.307762
7.50000000,167.50000000,12551.081038
7.50000000,172.50000000,23225.736207
12.50000000,-92.50000000,11360835.652114
12.50000000,-87.50000000,20478403.880827
12.50000000,-82.50000000,2639761.920567
12.50000000,-77.50000000,1596081.556246
12.50000000,-72.50000000,10289739.406556
12.50000000,-67.50000000,10866145.483250
12.50000000,-62.50000000,3832005.876646
12.50000000,-57.50000000,282558.997912
12.50000000,-22.50000000,207522.305664
12.50000000,-17.50000000,16444368.095538
12.50000000,-12.50000000,11787091.135829
12.50000000,-7.50000000,19908007.443461
12.50000000,-2.50000000,25896771.019708
